date,asset_id,price,currency
2025-01-15,US_EQUITY,150.25,USD
2025-01-16,US_EQUITY,149.386828,USD
2025-01-17,US_EQUITY,149.251975,USD
2025-01-20,US_EQUITY,149.015852,USD
2025-01-21,US_EQUITY,150.425894,USD
2025-01-22,US_EQUITY,150.142993,USD
2025-01-23,US_EQUITY,149.075592,USD
2025-01-24,US_EQUITY,149.809041,USD
2025-01-27,US_EQUITY,150.654894,USD
2025-01-28,US_EQUITY,150.873682,USD
2025-01-29,US_EQUITY,150.481227,USD
2025-01-30,US_EQUITY,151.934581,USD
2025-01-31,US_EQUITY,151.635412,USD
2025-02-03,US_EQUITY,153.339885,USD
2025-02-04,US_EQUITY,154.628546,USD
2025-02-05,US_EQUITY,153.362479,USD
2025-02-06,US_EQUITY,153.358261,USD
2025-02-07,US_EQUITY,154.344067,USD
2025-02-10,US_EQUITY,154.353615,USD
2025-02-11,US_EQUITY,152.746496,USD
2025-02-12,US_EQUITY,152.734712,USD
2025-02-13,US_EQUITY,152.093501,USD
2025-02-14,US_EQUITY,152.582575,USD
2025-02-17,US_EQUITY,152.314248,USD
2025-02-18,US_EQUITY,153.265823,USD
2025-02-19,US_EQUITY,153.298372,USD
2025-02-20,US_EQUITY,153.360694,USD
2025-02-21,US_EQUITY,153.107756,USD
2025-02-24,US_EQUITY,151.013726,USD
2025-02-25,US_EQUITY,150.26514,USD
2025-02-26,US_EQUITY,149.837616,USD
2025-02-27,US_EQUITY,148.869559,USD
2025-02-28,US_EQUITY,147.23037,USD
2025-03-03,US_EQUITY,146.172604,USD
2025-03-04,US_EQUITY,147.393399,USD
2025-03-05,US_EQUITY,148.98717,USD
2025-03-06,US_EQUITY,149.081394,USD
2025-03-07,US_EQUITY,146.159729,USD
2025-03-10,US_EQUITY,147.967474,USD
2025-03-11,US_EQUITY,147.947518,USD
2025-03-12,US_EQUITY,145.944197,USD
2025-03-13,US_EQUITY,145.01476,USD
2025-03-14,US_EQUITY,145.226024,USD
2025-03-17,US_EQUITY,146.004105,USD
2025-03-18,US_EQUITY,148.305177,USD
2025-03-19,US_EQUITY,147.233516,USD
2025-03-20,US_EQUITY,147.330877,USD
2025-03-21,US_EQUITY,145.633676,USD
2025-03-24,US_EQUITY,147.048324,USD
2025-03-25,US_EQUITY,147.956826,USD
2025-03-26,US_EQUITY,147.7876,USD
2025-03-27,US_EQUITY,146.835601,USD
2025-03-28,US_EQUITY,146.558491,USD
2025-03-31,US_EQUITY,147.417664,USD
2025-04-01,US_EQUITY,145.15947,USD
2025-04-02,US_EQUITY,142.459102,USD
2025-04-03,US_EQUITY,143.462318,USD
2025-04-04,US_EQUITY,143.984568,USD
2025-04-07,US_EQUITY,144.560471,USD
2025-04-08,US_EQUITY,145.681582,USD
2025-04-09,US_EQUITY,143.883113,USD
2025-04-10,US_EQUITY,144.642431,USD
2025-04-11,US_EQUITY,142.834801,USD
2025-04-14,US_EQUITY,142.324084,USD
2025-04-15,US_EQUITY,142.38006,USD
2025-04-16,US_EQUITY,140.691533,USD
2025-04-17,US_EQUITY,140.501062,USD
2025-04-18,US_EQUITY,142.787046,USD
2025-04-21,US_EQUITY,144.304612,USD
2025-04-22,US_EQUITY,141.432512,USD
2025-04-23,US_EQUITY,141.041585,USD
2025-04-24,US_EQUITY,139.603707,USD
